id,longitud,latitud,demanda
1709,-56.195568,-34.908268,2981
1710,-56.19559,-34.908005,2981
1711,-56.195595,-34.907986,2981
1712,-56.19582,-34.905876,2195
1713,-56.196346,-34.902294,1678
1714,-56.19635,-34.90227,1678
1715,-56.1964,-34.90164,966
1716,-56.194157,-34.900166,879
1717,-56.195446,-34.900185,404
1718,-56.195442,-34.90022,467
1719,-56.195126,-34.901638,1442
1720,-56.19519,-34.902607,1579
1721,-56.19519,-34.90262,1839
1722,-56.19512,-34.903126,1876
1723,-56.194984,-34.90455,2188
1724,-56.194984,-34.904583,1972
1725,-56.19484,-34.905987,2348
1726,-56.194836,-34.906017,2348
1727,-56.19469,-34.90747,2722
1728,-56.194687,-34.907486,2887
1729,-56.194477,-34.90783,3144
1730,-56.194473,-34.907845,3144
1731,-56.194576,-34.90836,3105
1732,-56.194576,-34.908375,3021
1733,-56.19431,-34.909504,2842
1734,-56.194305,-34.909527,3081
1735,-56.194233,-34.91023,3110
1736,-56.19423,-34.910248,3110
1737,-56.19423,-34.910263,2908
1738,-56.19191,-34.910774,3114
1739,-56.19197,-34.910225,2697
1740,-56.19206,-34.909504,3098
1741,-56.19214,-34.90864,2673
1742,-56.192226,-34.907684,2611
1743,-56.192303,-34.90708,2519
1744,-56.192303,-34.90706,2519
1745,-56.19232,-34.906788,2519
1746,-56.192326,-34.90677,2519
1747,-56.1924,-34.906116,2004
1748,-56.192604,-34.905777,2004
1749,-56.19261,-34.90575,2004
1750,-56.192657,-34.905293,1841
1751,-56.19266,-34.905262,1479
1752,-56.192566,-34.904778,1548
1753,-56.19284,-34.90356,1706
1754,-56.192844,-34.90354,1706
1755,-56.19397,-34.904945,2012
1756,-56.19399,-34.904976,2012
1757,-56.19394,-34.903786,1680
1758,-56.193893,-34.90261,1641
1759,-56.19402,-34.901478,1379
1760,-56.19405,-34.901196,1379
1761,-56.19405,-34.90117,1581
1762,-56.190937,-34.899693,2128
1763,-56.190895,-34.9001,2343
1764,-56.19086,-34.900436,2343
1765,-56.19063,-34.901264,2047
